 deal_id |                                                                                              canonical_name                                                                                              |   stage   | status | deleted 
---------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------+--------+---------
 DL-0001 | seed-deal-1                                                                                                                                                                                              | qualified | active | t
 DL-0002 | verify-f1                                                                                                                                                                                                | inbound   | active | t
 DL-0006 | proxy-test                                                                                                                                                                                               | inbound   | active | t
 DL-0023 | alert(1)Test Deal                                                                                                                                                                                        | inbound   | active | t
 DL-0024 | OverSize Test                                                                                                                                                                                            | inbound   | active | t
 DL-0025 | QA5 XSS Source Test                                                                                                                                                                                      | inbound   | active | t
 DL-0026 | V4 Regression Test                                                                                                                                                                                       | inbound   | active | t
 DL-0028 | 🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉 | inbound   | active | t
 DL-0031 | alert(1)Clean                                                                                                                                                                                            | inbound   | active | t
 DL-0032 | nulltest                                                                                                                                                                                                 | inbound   | active | t
 DL-0033 | V4 Regr Test                                                                                                                                                                                             | screening | active | t
 DL-0034 | 🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉                                                                                                     | inbound   | active | t
 DL-0042 | CANARY-RT-SOT-1770190003                                                                                                                                                                                 | archived  | active | f
 DL-0047 | SPLITBRAIN-PROOF-1770190360                                                                                                                                                                              | archived  | active | f
 DL-0048 | SPLITBRAIN-PROOF-1770190379                                                                                                                                                                              | archived  | active | f
 DL-0049 | SPLITBRAIN-FINAL-1770190410                                                                                                                                                                              | archived  | active | f
 DL-0061 | Final Idempotency Test                                                                                                                                                                                   | archived  | active | f
 DL-0062 | Clean Test Deal                                                                                                                                                                                          | archived  | active | f
(18 rows)

